objectid,parentid,filename,title,tour_site_number,creator,date_of_construction,narrative,structure_type,house_type,architectural_style,architect,subject,location,latitude,longitude,source,type,format,language,rights
coll001,,0400.png,A Walk Through the Prospect Hill Historic District,,"City of Bloomington, Indiana",1840; 1860; 1900; 1906,"The neighborhood now known as Prospect Hill developed at the southwest corner of the original City Plat, which terminated at Third and Jackson Streets. Prospect Hill Addition was platted and annexed to the city on June 7, 1893. It was laid out on a rounded hill with South Rogers, Fairview, Third Street and Smith Avenue as its borders. The McPheeters Addition, which encompasses the eastern edge of the district, was platted and annexed in 1888. Later additions that moved west towards Walker Street were developed by J.D. and W.S. Showers. In the early days, from 1895 until 1910, the Southside Stone Company (later the Henly Stone Company) operated north of Second Street across from the hospital, which was established in an old brick farmhouse in 1905.

The Paris Dunning House, at the end of Third Street, anchors the neighborhood with its refined early Greek Revival and Federal style. It was the home of Prospect Hill’s most famous resident, Governor Paris Dunning. The brick house at 213 South Rogers is also thought to have been built around the same time, in the 1840-50s, and may be the oldest house in Bloomington. Another striking early property is the Gothic Revival farm house at 308 South Maple, built in 1860. The former home of Judge James Hughes, it was once called the “Prospect Property” and contained over 16 acres including the land that now forms blocks of housing on Fairview and Jackson Streets. A rural character remains in the neighborhood, with several small barns and an existing home adapted from a chicken house. Many of the smaller homes were built with decorative wooden porches that were later replaced with brick or limestone.

The Rogers Street neighborhood was developed as a prestigious upper middle class area bordered by workers’ cottages on the east, north, and later, west. It represents the only area developed as a professional residential neighborhood on the west side of town. The larger neighborhood was bordered on the west by the Monon Pond, once used as the city fairgrounds, the City graveyard (now Rose Hill Cemetery) and on the east by the levy. The levy famously housed Bloomington’s roistering saloons, houses of ill-repute and gambling venues.

The architecture of the Prospect Hill National Register District illustrates various “high styles” popular between 1890 and 1925, a time of growing affluence in Bloomington. Queen Anne, Free Classic and Period Revival style houses, some designed by prolific Bloomington architect John Nichols, are present. One small octagonal house on Rogers is a replica of Nichols’ studio, which was built and still stands on North College. Regionally important architects, Crapsey and Lamm, designed the home of Bloomington’s early druggist at 332 South Rogers. There are also several examples of vernacular style houses, two mid-nineteenth century houses with Greek Revival and Federal details, bungalows and American four-squares of the 1920s, including a splendid brick example of a Sears Catalogue home called “the Alhambra”.

This diverse group is a microcosm of Bloomington’s overall residential history. Several groceries, similar to the small brick storefront at 4th and Rogers, were once located throughout the neighborhood.

The Burns Grocery was one of eight stores in the city owned by Roy Burns. These tiny, full service and accessible venues were later replaced by the “supermarkets” of the 1950s.

By the 1960s the neighborhood had fallen into disrepair and the grandness of the houses along Rogers Street was lost in shabby siding and cobbled up rental units. Today that devastation is almost unimaginable. Prospect Hill’s story would be incomplete without including the efforts of Wilbert (Bill) Sturbaum, Rosemary Miller, the City of Bloomington, and Bloomington Restorations, Inc. (BRI) Between 1968 and 2005, Bill Sturbaum serially purchased and restored seven buildings in a single block. He saved four others by assuring their ownership to interested preservationists. Rosemary Miller championed the cause of the dilapidated Paris Dunning House in 1985, obtaining money for its restoration. The Prospect Hill Historic District was listed on the National Register of Historic Places in March 1991. Within the year, district residents were also successful in establishing Bloomington’ first locally designated historic district. Prospect Hill continues to prove its leadership in community planning issues, by adopting one of the first neighborhood plans in 2005. In 2008 the larger part of the neighborhood became Bloomington’s second Conservation District. New construction must follow guidelines established by the existing context. Several City grants have assisted in the restoration of scattered WPA limestone sidewalks that enhance the historic environment and make Prospect Hill such a notable place. More information on Prospect Hill and a copy of the National Register nomination is available in the Indiana Room of the Monroe County Public Library.

This brochure has been funded in part by a U.S. Department of the Interior, National Park Service Historic Preservation Fund grant and administered by the Indiana Department of Natural Resources, Division of Historic Preservation and Archaeology. This program has received federal assistance for the identification, protection, and/or rehabilitation of historic properties and cultural resources in the State of Indiana. Under Title VI of the Civil Rights Act of 1964 and Section 504 of the Rehabilitation Act of 1973, the U.S. Department of the Interior prohibits discrimination on the basis of race, color, national origin, or disability in its federally assisted programs.

If you believe that you have been discriminated against in any program, activity, or facility as described above, or if you desire further information, please write to: Office of Equal Opportunity, U.S. Department of the Interior, Washington, D.C. 20240.

The activity that is the subject of the brochure has been financed in part with federal funds from the U.S. Department of the Interior, National Parks Service. However, the contents and opinions contained in this publication do not necessarily reflect the views or policies of the Department of the Interior, nor does the mention of trade names or commercial products constitute endorsement or recommendation by the U.S. Department of the Interior.

In Appreciation:

Research for this project was originally funded in part by a Department of the Interior grant administered by the Division of Historic Preservation and Archaeology, Indiana Department of Natural Resources.

Financial support for this publication was provided by the Department of Housing and Neighborhood Development, City of Bloomington.

Assistance was provided by Danielle Bachant-Bell and Nancy Hiestand.

Many thanks for the historic photographs of E. Bridgwaters’ collection and William H. Mathers Museum.

The buildings shown here are representative and not intended to be an exhaustive list of historic resources in the district.

Financial support for this publication was provided by the Department of Housing and Neighborhood Development.This brochure was first published in 1988 and has gone through three editions. It was originally funded through a grant from the Indiana Division of Historic Preservation and Archaeology.

Research by Glenda Murray, Willbert Sturbaum, and Nancy Hiestand. Archival Photographs are courtesy of the William H. Mathers Museum. Design assistance by Ellen M. Campbell.
",House,Double Pen,Elizabethan Revival; Second Empire; Gothic Revival,,residential architecture; double-pen houses; second empire architecture; gothic architecture,"Bloomington, Indiana",,,"Historic Bloomington Walking Tours, City of Bloomington--A Walk Through the Prospect Hill Historic District",Image;StillImage,compound_object,eng,City of Bloomington Department of Housing and Neighborhood Development
coll002,coll001,0401.png,Harry F. Rogers House; 346 South Rogers Street,No. 1,,1906,"Harry Rogers operated a threshing machine for hire until switching to automotive repair. In 1926, he founded the Bloomington Garage at 6th and Madison, which is now a coop food market. The house is a unique example of the Elizabethan Revival style built in 1906. This house reflects the variety of styles that became popular nationwide following the Philadelphia Centennial Exposition in 1876. Note the classical porch columns and the use of stucco.",House,,Elizabethan Revival,,residential architecture,"Bloomington, Indiana",39.1630418,-86.53889896,,Image;StillImage,image/png,eng,
coll003,coll001,0410.png,218 South Rogers Street,No. 10,,1840,This is one of Bloomington’s earliest buildings. An underground creek flows on the south side of the house and a tombstone is rumored to be used as part of the foundation. Governor Paris Dunning signed the original deed after the property was purchased at a sheriff’s sale. Several frame additions have been made to the rear of  his brick house; the iron railings and roof of the front porch are also alterations to the original structure. This house is a traditional house type known as a Central Passage.,House,Double Pen,,,residential architecture; double-pen houses,"Bloomington, Indiana",39.16491679,-86.53890458,,Image;StillImage,image/png,eng,
coll004,coll001,0415.png,Tinker's Mansion; 317 South Jackson Street,No. 15,,1900,"The outstanding feature of this turn-of-the-century house is the extraordinary mansard roof. The house was built by Al Hayes, a tinsmith, who applied the decorative pressed metal sheets and baroque window heads. A narrow veranda wraps around three sides of the house. In the rear is a small, separate building constructed in the 1920s to isolate and provide fresh-air therapy for a family member who suffered from tuberculosis.",House,,Second Empire,,residential architecture; second empire architecture,"Bloomington, Indiana",39.16406637,-86.53966332,,Image;StillImage,image/png,eng,
coll005,coll001,0422.png,Hughes-Branum House; 308 South Maple Street,No. 22,,1860,"Originally on almost 20 acres, this early house was owned by Judge John Hughes. The land was later developed by the Showers Brothers, who subdivided in 1893. The house is one of very few remaining properties in Bloomingon in the Gothic Revival style with the decorative verges intact. ",House,,Gothic Revival,,residential architecture; gothic architecture,"Bloomington, Indiana",39.16400927,-86.54251102,,Image;StillImage,image/png,eng,
coll006,,0200.png,A Walk Through the Courthouse Square Historic District,,"City of Bloomington, Indiana",1888; 1891; 1907; 1919; 1921; 1922,"In 1818 the county agent was ordered to lay out a public square 276 feet on each side with streets 82 1/2 feet wide. The original town stretched four blocks east and west of the square and two blocks north and south. Streets immediately surrounding the square were then named, quite logically, West Main (now College), East Main (Walnut), North Main (Sixth), and South Main (Kirkwood). Laid out in what is now known as the “Shelbyville Plan,” cross streets intersect at the corners of the square. A small log structure was the first of three courthouses built in the center of the square; the final and present courthouse has been standing since 1907. The lots surrounding the square were sold at public auction on June 22, 1818. By the following January, thirty families had taken up residence and established stores, taverns, and industries.

Early businesses supported only the local agricultural and daily needs of the community. The Seward Foundry, an early blacksmith shop that started in 1822 at 7 and Walnut, continued operation until the 1980°s. Austin Seward is known for creating the fish weathervane that has topped every courthouse since 1826. Tanneries, lumber, woolen and grist mills, and distilleries were other early businesses. As stagecoach routes, canals, rail lines and highways were established through the years, industries flourished and markets expanded as trade possibilities to and from Bloomington increased. The Showers Brothers Furniture Factory was originally founded on the eastside of the square as a coffin and bedstead manufacturer in 1856. By 1912 it had grown into the largest furniture factory in the world, relocating to a new building at 8"" and Morton Street now reused as City Hall. Wick’s Bee Hive, a department store operating from 1891 to1976, took up various posts along the North side of the square during its long existence. Faris’ Market, started in 1923 and located on North Walnut, is the only store left from a time when grocers, meat markets, bakeries, five-and-dimes. department stores, and other commercial services lined the square to supply local residents.

Many hotels also opened in the downtown area with construction of a new passenger rail station on Gentry Street. Although now reused, the Bundy European Hotel and the Faulkner Hotel still stand, along with the grandest of them, the Graham. Through the years downtown became a center for entertainment with festivities revolving around rough saloons, Masonic ceremonies, restaurants, plays or recitations in various auditoriums. and eventually, movie theatres. The tradition continues today with many live music venues, bars. restaurants, specialty shops, and annual events creating the public downtown experience.

In 1984, the Commission for Bloomington Downtown (now Downtown Bloomington Commission) was incorporated with the mission to revitalize downtown. Its highest priority was “preservation of the integrity and uniqueness of the square. one of the few substantially unaltered, turn-of-the-century squares remaining in Indiana.” In 1986, the Commission became a certified National Main Street organization and the city a graduate partner in the Indiana Main Street program. Incorporating the Main Street program’s four-point approach of organization. promotion, design, and economic restructuring, revitalization conferences were held, similar programs in other cities were examined, zoning was modified to encourage downtown housing, and a director was hired. Local funding initiative programs for revitalization and restoration were also established including Curb and Sidewalk, Street Tree, Downtown Loan, Fagade Design, and Tax Abatement. Over $40 million in public and private investments were made in downtown as the city’s historic buildings were restored, reused and redeveloped.

One of the earliest local tax abatement projects involved the Graham Hotel, redeveloped as office space in 1984 by CFC, Inc. Federal historic tax credit projects redeveloped the Fee. Sudbury and Wicks Buildings, Vance Music Building, Howe Building, Hare Motors Sales Co. Building, Allen Building, the Knights of Pythias Building, and the Princess and Buskirk-Chumley/ Indiana Theaters. The largest single project.-again taken on by CFC, Inc., was reuse of all buildings on the south side of the square facing Kirkwood Street. As the buildings were found unstable. the facades were retained while the interior structures were rebuilt as one unit. Now a collection of shops and offices in a mall format, the building is collectively called Fountain Square Mall.

The Courthouse Square Historic District was listed on the National Register of Historic Places in December 1990. Four buildings within the district are individually listed on the National Register—the courthouse, the Princess Theatre, the Wicks Building, and the old City Hall. More information on the Courthouse Square and a copy of the National Register nomination is available in the Indiana Room of the Monroe County Public Library.

This brochure has been funded in part by a U.S. Department of the Interior, National Park Service Historic Preservation Fund grant and administered by the Indiana Department of Natural Resources. Division of Historic Preservation and Archaeology. This program has received federal assistance for the identification, protection, and/or rehabilitation of historic properties and cultural resources in the State of Indiana. Under Title VI of the Civil Rights Act of 1964 and Section 504 of the Rehabilitation Act of 1973. the U.S. Department of the Interior prohibits discrimination on the basis of race, color, national origin, or disability in its federally assisted programs.

If you believe that you have been discriminated against in any program. activity, or facility as described above. or if you desire further information, please write to: Office of Equal Opportunity, U.S. Department of the Interior, Washington, D.C. 20240.

The activity that is the subject of the brochure has been financed in part with federal funds from the U.S. Department of the Interior, National Parks Service. However, the contents and opinions contained in this publication do not necessarily reflect the views or policies of the Department of the Interior, nor does the mention of trade names or commercial products consttute endorsement or recommendation by the U.S. Department of the Interior.

Research for this project was originally funded in part by a Department of the Interior grant administered by the Division of Historic Preservation and Archaeology, Indiana Department of Natural Resources.

Financial support for this publication was provided by the Department of Housing and Neighborhood Development, City of Bloomington.

Assistance was provided by Danielle Bachant-Bell, Cynthia Brubaker, Bradley Cook, Talisha Coppock, Nancy Hiestand, Tom Kavanagh, Leslie Noggle, and Steve Wyatt.

Many thanks for the photographic services of: William Hammond Mathers Museum and Indiana University Archives.

Additional archival information was gathered at: Bloomington Restorations, Inc.

* - indicates use of historic photo

The buildings shown here are representative and are not intended to be an exhaustive list of historic resources in the district.",Commercial,,Chicago Style; Queen Anne; Classical Revival; Spanish Revival; Italianate,John Nichols,,"Bloomington, Indiana",,,"Historic Bloomington Walking Tours, City of Bloomington--A Walk Through the Courthouse Square Historic District",Image;StillImage,compound_object,eng,City of Bloomington Department of Housing and Neighborhood Development
coll007,coll006,0203.png,Wicks Building; 116 West 6th Street,No. 3,,1891; 1921,"Drygoods and department stores have operated at the corner of 6th and College since the 1850’s. A perennial local favorite, the “Wicks Beehive” store located at 116 was remodeled in 1926, with Bloomington’s only Chicago commercial style façade. The limestone façade features wrought iron spandrels and fluted piers and covers two original buildings. The brick Sudbury Building once housed the Kappa Alphi Phi fraternity where Hoagy Carmichael and his friends gathered to play informally.",Commercial,,Chicago Style,,commercial buildings; Chicago school architecture,"Bloomington, Indiana",39.16786898,-86.53440604,"Historic Bloomington Walking Tours, City of Bloomington--A Walk Through the Courthouse Square Historic District",Image;StillImage,image/png,eng,
coll008,coll006,0217.png,Allen Building; 104 East Kirkwood Avenue,No. 17,,1907,"The Bloomington National Bank was the first to occupy the Allen Building, which has had a variety of retail and office uses through the years. A mixture of commercial styles it shows the influence of both Queen Anne and Classical Revival styles in its complex massing, dentilled cornice, Ionic pilasters and pedimented gables. Original leaded clerestories and pressed tin ceilings are still visible at the Uptown Café, which has become a noted watering hole for Bloomington’s movers and shakers.",Commercial,,Queen Anne; Classical Revival,John Nichols,commercial buildings; Queen Anne style architecture,"Bloomington, Indiana",39.1663945,-86.53320362,"Historic Bloomington Walking Tours, City of Bloomington--A Walk Through the Courthouse Square Historic District",Image;StillImage,image/png,eng,
coll009,coll006,0219.png,Indiana Theatre (Buskirk-Chumley); 112 East Kirkwood Avenue,No. 19,,1922,"Harry and Nova Vonderschmitt built the former Indiana Theatre for the cinema. Reflecting, as it did, the exotic appeal of the heyday of American movies, the theater is an eclectic mix of Spanish and Classical Revival styles. The memory of Hoagy Carmichael is also linked with the old Indiana. Substantial community effort led to its restoration and reuse by the city. It is now a performing arts venue.",Commercial,,Spanish Revival,,commercial buildings,"Bloomington, Indiana",39.16645951,-86.53290204,"Historic Bloomington Walking Tours, City of Bloomington--A Walk Through the Courthouse Square Historic District",Image;StillImage,image/png,eng,
coll010,coll006,0220.png,Old Monroe County State Bank; 100 North Walnut Street,No. 20,,1888; 1919,"Originally a drygoods store, this Italianate brick building was upgraded with a neoclassical limestone facade in order to house a bank. With its Eastlake style window hoods and pressed metal cornice, the building has good original integrity. The Book Corner is its long-term tenant",Commercial,,Italianate,,commercial buildings; Italianate architecture,"Bloomington, Indiana",39.16675387,-86.53337048,"Historic Bloomington Walking Tours, City of Bloomington--A Walk Through the Courthouse Square Historic District",Image;StillImage,image/png,eng,
